trajet_id,latitude,longitude
4187532,50.684304,10.911306
4187532,50.684304,10.911306
4187532,50.684309,10.911401
4187532,50.6843,10.911435
4187532,50.684246,10.911469
4187532,50.684224,10.911488
4187532,50.684201,10.911522
4187532,50.68417,10.911564
4187532,50.684095,10.911698
4187532,50.684059,10.911758
4187532,50.683964,10.911907
4187532,50.683915,10.911981
4187532,50.68387,10.912048
4187532,50.683823,10.912105
4187532,50.683793,10.912157
4187532,50.683757,10.912197
4187532,50.683711,10.912214
4187532,50.683672,10.912201
4187532,50.683641,10.912162
4187532,50.683614,10.912121
4187532,50.683584,10.912085
4187532,50.683556,10.912057
4187532,50.683533,10.91204
4187532,50.683503,10.912017
4187532,50.683471,10.911987
4187532,50.683454,10.911968
4187532,50.683434,10.911956
4187532,50.683421,10.911933
4187532,50.683408,10.911905
4187532,50.683393,10.91188
4187532,50.683373,10.911864
4187532,50.683312,10.911775
4187532,50.683145,10.911587
4187532,50.683075,10.911494
4187532,50.683034,10.911437
4187532,50.682971,10.911332
4187532,50.682799,10.911104
4187532,50.682597,10.910861
4187532,50.682569,10.910826
4187532,50.682542,10.910787
4187532,50.682353,10.910564
4187532,50.682257,10.910526
4187532,50.68223,10.910519
4187532,50.682205,10.910507
4187532,50.682189,10.910495
4187532,50.682163,10.910484
4187532,50.682145,10.910468
4187532,50.682128,10.910448
4187532,50.68211,10.91043
4187532,50.682058,10.910349
4187532,50.682049,10.910312
4187532,50.682043,10.910264
4187532,50.682036,10.910211
4187532,50.682001,10.910125
4187532,50.681971,10.910089
4187532,50.681933,10.910049
4187532,50.681901,10.910014
4187532,50.681766,10.909912
4187532,50.681735,10.909886
4187532,50.681324,10.909586
4187532,50.68125,10.909518
4187532,50.681141,10.909403
4187532,50.681105,10.909369
4187532,50.681069,10.909326
4187532,50.680925,10.909097
4187532,50.680875,10.908992
4187532,50.68085,10.908944
4187532,50.680827,10.908892
4187532,50.680805,10.908841
4187532,50.680778,10.908771
